Country Name,Country Code,Indicator Name,Indicator Code,year,value
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1960,
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1960,21216962289.5576
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1960,
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,1960,11884128412.3564
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,1960,
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1960,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,1960,
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,1960,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,1960,
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1960,
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1960,
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1960,18606562977.0501
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1960,6650133914.54795
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,1960,
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1960,195999990.0
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1960,11810619368.3874
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1960,226195578.434497
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1960,330442815.821186
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1960,4274894083.33333
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,1960,
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,1960,
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,1960,169803921.568627
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,1960,
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,1960,
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1960,28072478.0724781
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1960,84466652.5888912
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,1960,373250000.0
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1960,
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1960,80021380.2934078
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,1960,
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,1960,
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,1960,30411413.6552828
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1960,112155598.492157
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1960,40563768946.9503
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1960,10412232620.5258
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,1960,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,1960,4110000000.0
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1960,59716249310.9742
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,1960,546203559.344361
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,1960,614206068.497266
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,1960,
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,1960,131731862.783017
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1960,4031152976.63904
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1960,
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,1960,507513829.994855
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,1960,641539199.966832
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,1960,
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,1960,
Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,1960,
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1960,84310950194.1152
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,1960,
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,1960,
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,1960,6361166312.94752
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,1960,672399700.0
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1960,2723615451.30098
East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,1960,80767959484.0125
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,1960,131637078689.923
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,1960,157148090063.28
Europe & Central Asia (excluding high income),ECA,GDP (current US$),NY.GDP.MKTP.CD,1960,
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,1960,426443191069.501
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,1960,2069464936.59762
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,1960,
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,1960,251547935974.241
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,1960,
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1960,12433394725.2159
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,1960,
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,1960,1610511693.78543
European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,1960,285073053085.955
Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,1960,30738244854.8701
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,1960,5279011362.12721
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,1960,112328422.113084
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,1960,62225478000.8822
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,1960,
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,1960,141468977.799846
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,1960,73233967692.1028
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,1960,
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,1960,1223943661.97183
Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,1960,
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1960,
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,1960,4335191696.00585
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,1960,
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,1960,
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,1960,1043599900.0
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,1960,170216241.126064
High income,HIC,GDP (current US$),NY.GDP.MKTP.CD,1960,1092681910636.61
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,1960,1320796651.69457
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,1960,335650000.0
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),NY.GDP.MKTP.CD,1960,19354196920.0215
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,1960,
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,1960,273187200.0
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,1960,
IBRD only,IBD,GDP (current US$),NY.GDP.MKTP.CD,1960,326647514998.481
IDA & IBRD total,IBT,GDP (current US$),NY.GDP.MKTP.CD,1960,369468196078.483
IDA total,IDA,GDP (current US$),NY.GDP.MKTP.CD,1960,41098321652.6435
IDA blend,IDB,GDP (current US$),NY.GDP.MKTP.CD,1960,12304340519.4379
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1960,
IDA only,IDX,GDP (current US$),NY.GDP.MKTP.CD,1960,29673639827.084
Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,1960,
India,IND,GDP (current US$),NY.GDP.MKTP.CD,1960,37029883876.1839
Not classified,INX,GDP (current US$),NY.GDP.MKTP.CD,1960,
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,1960,1998550221.80554
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1960,4199134389.9037
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,1960,1537252191.85976
