Country Name,Country Code,Indicator Name,Indicator Code,year,value
Aruba,ABW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Africa Eastern and Southern,AFE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Africa Western and Central,AFW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Angola,AGO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Albania,ALB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Andorra,AND,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Arab World,ARB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
United Arab Emirates,ARE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Argentina,ARG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Armenia,ARM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
American Samoa,ASM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Antigua and Barbuda,ATG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Australia,AUS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Austria,AUT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Azerbaijan,AZE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Burundi,BDI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Belgium,BEL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Benin,BEN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Burkina Faso,BFA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Bangladesh,BGD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Bulgaria,BGR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Bahrain,BHR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
"Bahamas, The",BHS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Bosnia and Herzegovina,BIH,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Belarus,BLR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Belize,BLZ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Bermuda,BMU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Bolivia,BOL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Brazil,BRA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Barbados,BRB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Brunei Darussalam,BRN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Bhutan,BTN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Botswana,BWA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Central African Republic,CAF,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Canada,CAN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Central Europe and the Baltics,CEB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Switzerland,CHE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Channel Islands,CHI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Chile,CHL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
China,CHN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Cote d'Ivoire,CIV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Cameroon,CMR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
"Congo, Dem. Rep.",COD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
"Congo, Rep.",COG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Colombia,COL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Comoros,COM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Cabo Verde,CPV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Costa Rica,CRI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Caribbean small states,CSS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Cuba,CUB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Curacao,CUW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Cayman Islands,CYM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Cyprus,CYP,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Czechia,CZE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Germany,DEU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Djibouti,DJI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Dominica,DMA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Denmark,DNK,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Dominican Republic,DOM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Algeria,DZA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
East Asia & Pacific (excluding high income),EAP,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Early-demographic dividend,EAR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
East Asia & Pacific,EAS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Europe & Central Asia (excluding high income),ECA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Europe & Central Asia,ECS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Ecuador,ECU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
"Egypt, Arab Rep.",EGY,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Euro area,EMU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Eritrea,ERI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Spain,ESP,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Estonia,EST,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Ethiopia,ETH,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
European Union,EUU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Fragile and conflict affected situations,FCS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Finland,FIN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Fiji,FJI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
France,FRA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Faroe Islands,FRO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
"Micronesia, Fed. Sts.",FSM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Gabon,GAB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
United Kingdom,GBR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Georgia,GEO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Ghana,GHA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Gibraltar,GIB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Guinea,GIN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
"Gambia, The",GMB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Guinea-Bissau,GNB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Equatorial Guinea,GNQ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Greece,GRC,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Grenada,GRD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Greenland,GRL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Guatemala,GTM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Guam,GUM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Guyana,GUY,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
High income,HIC,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
"Hong Kong SAR, China",HKG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Honduras,HND,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Heavily indebted poor countries (HIPC),HPC,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Croatia,HRV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Haiti,HTI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Hungary,HUN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
IBRD only,IBD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
IDA & IBRD total,IBT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
IDA total,IDA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
IDA blend,IDB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
Indonesia,IDN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1960,
